,id,keyword,location,text,target
172,247,ambulance,Jackson,"['Twelve', 'feared', 'killed', 'in', 'Pakistani', 'air', 'ambulance', 'helicopter', 'crash']",1
174,249,ambulance,,"['Twelve', 'feared', 'killed', 'in', 'Pakistani', 'air', 'ambulance', 'helicopter', 'crash', '-', 'Reuters', '#yugvani']",1
177,253,ambulance,,"['Twelve', 'feared', 'killed', 'in', 'Pakistani', 'air', 'ambulance', 'helicopter', 'crash']",1
182,261,ambulance,,"['#news', 'Twelve', 'feared', 'killed', 'in', 'Pakistani', 'air', 'ambulance', 'helicopter', 'crash', '#til_now', '#DNA']",1
183,262,ambulance,Amsterdam,"['Twelve', 'feared', 'killed', 'in', 'Pakistani', 'air', 'ambulance', 'helicopter', 'crash']",1
190,269,ambulance,,"['Twelve', 'feared', 'killed', 'in', 'Pakistani', 'air', 'ambulance', 'helicopter', 'crash']",1
191,270,ambulance,Karachi,"['Twelve', 'feared', 'killed', 'in', 'Pakistani', 'air', 'ambulance', 'helicopter', 'crash']",1
196,276,ambulance,,"['#reuters', 'Twelve', 'feared', 'killed', 'in', 'Pakistani', 'air', 'ambulance', 'helicopter', 'crash']",1
197,277,ambulance,L. A.,"['Twelve', 'feared', 'killed', 'in', 'Pakistani', 'air', 'ambulance', 'helicopter', 'crash']",1
201,283,ambulance,Lexington,"['Twelve', 'feared', 'killed', 'in', 'Pakistani', 'air', 'ambulance', 'helicopter', 'crash']",1
203,287,ambulance,USA,"['Twelve', 'feared', 'killed', 'in', 'Pakistani', 'air', 'ambulance', 'helicopter', 'crash', '#worldNews']",1
204,289,ambulance,"Hannover, Germany","['Twelve', 'feared', 'killed', 'in', 'Pakistani', 'air', 'ambulance', 'helicopter', 'crash', '#worldnews']",1
207,293,ambulance,Playa,"['Twelve', 'feared', 'killed', 'in', 'Pakistani', 'air', 'ambulance', 'helicopter', 'crash']",1
